title,url,date,start_time,end_time,image_url,location,recurrence,category,details
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",N/A,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Baby Bounce at Northgate Thursdays 10am,N/A,N/A,N/A,N/A,N/A,Northgate Library,N/A,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Family Storytime Eastgate,N/A,N/A,N/A,N/A,N/A,Eastgate Library,N/A,N/A,Family Storytime is a program for little ones ages 0-5 and their grownups.
Baby Bounce at South Chattanooga Thursdays 10am,N/A,N/A,N/A,N/A,N/A,South Chattanooga Library,N/A,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
"Toddler Time at Downtown Monday, Thursday and Saturday 11am",N/A,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,Toddler Time is a 30-minute action-packed informal learning program for children ages 18 to 36 months.
Baby Bounce at Northgate Thursdays 11am,N/A,N/A,N/A,N/A,N/A,Northgate Library,N/A,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Toddler Time at South Chattanooga Thursday 11am,N/A,N/A,N/A,N/A,N/A,South Chattanooga Library,N/A,N/A,Toddler Time is a 30-minute action-packed informal learning program for children ages 18 to 36 months.
Full Steam Ahead Northgate,N/A,N/A,N/A,N/A,N/A,Northgate Library,N/A,N/A,Full STEAM Ahead is a program designed for kids in Kindergarten through 3rd grade.
Avondale Creative Arts Studio,N/A,N/A,N/A,N/A,N/A,Avondale Library,N/A,N/A,"Kids, tweens and teens are invited to join us for the therapeutic benefits of art-making!"
Full Steam Ahead Downtown,N/A,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,Full STEAM Ahead is a program designed for kids in Kindergarten through 3rd grade.
Teen Steam at Avondale,N/A,N/A,N/A,N/A,N/A,Avondale Library,N/A,N/A,"Teens, join us every Friday at 5:00 pm for Teen Steam!"
Library: After Hours- Character Embroidery,N/A,N/A,N/A,N/A,N/A,Northgate Library,N/A,N/A,"Come hang out at the library after hours! Each month we will have a fun time crafting, playing games, & enjoying having the library all to ourselves! Permission Form: ***If you are RSVP’ing for this event, please click here to fill out a permission form.***"
Link Up at the Library with 423 Chain Breakers,N/A,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,Hang with the 423 Chain Breakers at the coolest library around during Nightfall 2024!
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",N/A,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Eastgate Library at Brainerd Farmers’ Market,N/A,N/A,N/A,N/A,N/A,Brainerd Farmers Market,N/A,N/A,Join the Eastgate Library at the Brainerd Farmers' Market!
